id,text,timestamp,city,state_id,state_name,county_name,lat,lng
1079527340617723904,I bought a portable cell charger. It stays charged forever and quickly charges two devices at once. Best purchase I ever made. It would get you through a 3 day power outage at minimum.,2018-12-30 23:59:09,Arlington,MA,Massachusetts,Middlesex,42.4186,-71.1638
1079527053555392513,"The filthy scum media @cnn didn’t show the REAL VIDEO! They edited out the UFO, & the beam & just blamed a power outage! 

There Was Something Unsettling About That Blue Light In New York City. https://youtu.be/HfKSMRoDkTM  via @YouTube",2018-12-30 23:58:00,Blaine,ME,Maine,Aroostook,46.499,-67.8688
1079523909312098305,Massive power outage hits southern Zim http://bit.ly/2EW2Enj  #263Chat #Twimbos #NewsDay #Zimbabwe,2018-12-30 23:45:31,Groton Long Point,CT,Connecticut,New London,41.3145,-72.0087
1079522345134538752,Massive power outage hits southern Zim https://www.thezimbabwedaily.com/news/301076-massive-power-outage-hits-southern-zim.html …pic.twitter.com/EMfwHQskNP,2018-12-30 23:39:18,Shelburne,VT,Vermont,Chittenden,44.3759,-73.2265
1079522317284237312,A major power outage this afternoon is impacting Akaroa & many of the bays and valleys of Banks Peninsular... http://www.oriongroup.co.nz/current ,2018-12-30 23:39:11,North Woodstock,NH,New Hampshire,Grafton,44.0364,-71.6895
1079521524586041344,@KenyaPower_Care second power outage in 72 hours. What is going on????? 28359164,2018-12-30 23:36:02,Hopedale,MA,Massachusetts,Worcester,42.1279,-71.541
1079520445983084545,"Power Outages Camping Hiking Fishing Traveling 
-
Emergency Hand Crank Power Charger! 
—————————————————
GET IT HERE!
http://www.EastCoastGadgets.com 
Shortcut:… https://www.instagram.com/p/BsB6nG5F0Dp/?utm_source=ig_twitter_share&igshid=f25bax22eahv …",2018-12-30 23:31:45,West Stewartstown,NH,New Hampshire,Coos,44.9906,-71.5309
1079517674844114944,Kevin Spacey / NYC Power Outage / ISIS NYE Threats https://youtu.be/zaC55SROhUw  via @YouTube,2018-12-30 23:20:44,West Acton,MA,Massachusetts,Middlesex,42.4751,-71.4745
1079517236098945024,*RED PILL AWAKEN: POWER OUTAGE! In Canada. Its happening! Get Ready!! https://youtu.be/F4_zNWQutzw  via @YouTube,2018-12-30 23:19:00,Montpelier,VT,Vermont,Washington,44.2658,-72.5717
1079516810540650496,I liked a @YouTube video http://youtu.be/7VDQU3hRV98?a  WARNING! What's behind the Power Outage In New York and Who's Controlling It?,2018-12-30 23:17:18,Mars Hill,ME,Maine,Aroostook,46.5211,-67.8717
1079516794862354432,Massive power outage hits southern Zim - The Harare Times http://dlvr.it/Qvg8bR ,2018-12-30 23:17:15,Greensboro Bend,VT,Vermont,Orleans,44.5583,-72.2642
1079516237934190593,Solar flares are starting to cause power outages because of the amount of plasma discharged into the air and tachyons particles may be a part of it as well electrified magnetic particles cause chaoso_O pic.twitter.com/GNlxy0GscE,2018-12-30 23:15:02,North Haven,CT,Connecticut,New Haven,41.3818,-72.8573
1079516237770706944,"Oh man.  Power outage here over Christmas about 6 hrs., luckily we were not home.  Hope it doesn’t take that long.",2018-12-30 23:15:02,West Kennebunk,ME,Maine,York,43.4142,-70.581
1079515952859901952,"Are there any government incentives to install solar power?
I installed 12kw of solar 5 years ago . It cost 50g . 
Just found out the batteries are shot during our last power outage. The system won't work now
It's 10 grand to replace the batteries
What a waste of money",2018-12-30 23:13:54,Alton,NH,New Hampshire,Belknap,43.4565,-71.2217
1079515904298209281,"So, how are you watching chess with a power outage? Got a generator",2018-12-30 23:13:42,Topsham,ME,Maine,Sagadahoc,43.9411,-69.9352
1079515435333312512,Power Outage due to Maintenance on Electrical Equipment http://collegenewsupdates.com/power-outage-due-to-maintenance-on-electrical-equipment/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …,2018-12-30 23:11:50,Burlington,MA,Massachusetts,Middlesex,42.5022,-71.2027
1079514881521377281,"Experienced such a, 'silent blue light explosion' event quite some years ago, what stood out was many suburban blocks of INDIVIDUALLY effected houses re; mains power (on the same lines) AND Electronic Communication Devices, outage & return. Imagine being The Powered house WTSHTF",2018-12-30 23:09:38,Revere,MA,Massachusetts,Suffolk,42.4188,-71.00399999999998
1079514880036691968,"WARNING! 
What's behind the Power Outage In New York and Who's Controlling It?

April LaJune
Streamed live 2 hours ago

The very strange blue light that was over New York is not what you think it is!
https://www.youtube.com/watch?v=7VDQU3hRV98 …",2018-12-30 23:09:38,East Brooklyn,CT,Connecticut,Windham,41.7948,-71.8992
1079514541082460167,I’m a power outage rn,2018-12-30 23:08:17,Warwick,RI,Rhode Island,Kent,41.7061,-71.4334
1079513364492177409,"I'm dreaming of a power outage in #Minnesota right now. #Vikings #Bears 
Halftime 13-3",2018-12-30 23:03:37,Rockwood,ME,Maine,Somerset,45.6778,-69.7409
1079513198905225218,"ANNOUNCEMENT: Our La Jolla restaurant has been affected by a power outage near the area.

We will remain closed until further notice.

Sorry for any inconvenience!

#TheTacoStand pic.twitter.com/HxmWCgqjuR",2018-12-30 23:02:57,Augusta,ME,Maine,Kennebec,44.3341,-69.7319
1079512473370279936,Post | Hour Rule: Power Outage | https://colecionador.es/post/7043/hour-rule-power-outage/ …,2018-12-30 23:00:04,Old Orchard Beach,ME,Maine,York,43.5239,-70.3904
1079511423481462786,"@KenyaPower_Care Power outage account number 33105586 nandi road karen, please advice",2018-12-30 22:55:54,Fair Haven,VT,Vermont,Rutland,43.5928,-73.2694
1079510746646474752,"So far this month we have seen

Mass email threats to schools, hospitals, and police departments

The power plant incident in NY

911 outages across the country

Computer virus affecting news outlets across the country

All related to trump. https://twitter.com/latimes/status/1079189448527536128 …",2018-12-30 22:53:12,North Grosvenor Dale,CT,Connecticut,Windham,41.9862,-71.9034
